ano,id_candidato_bd,bens_declarados
2022,239056,32000
2022,34336,225000
2022,546761,140000
2022,1551178,925000
2022,656443,350000
2022,393586,55000
2022,1810324,400000
2022,663340,290000
2022,381963,499000
2022,914417,436000
2022,1706862,8746350.08
2022,937391,2351000
2022,398412,76000
2022,151632,550784.79
2022,891798,2115805.92
2022,1595713,120000
2022,305248,2240580
2022,471191,203757.35
2022,1623626,135000
2022,162523,200000
2022,1780767,363303.12
2022,1593673,960000
2022,1441453,325632
2022,1494764,370000
2022,304413,3290000
2022,870858,11000
2022,1145154,829357.37
2022,526433,1019353.03
2022,848825,838953.8200000001
2022,73133,938000
2022,71359,400000
2022,1545774,25000
2022,271934,459671.56000000006
2022,1624308,1359598.81
2022,669593,274670.09
2022,196003,130000
2022,1593504,4465500
2022,71557,2615658.1
2022,1776465,3470000
2022,848062,400000
2022,1453466,10000
2022,680621,153000
2022,400168,1250000
2022,921167,115000
2022,374874,9282992.97
2022,468808,5000
2022,19795,76191.49
2022,502316,1508257.52
2022,761345,1772779.42
2022,1293908,40000
2022,1775580,670000
2022,1428086,30000
2022,197324,120000
2022,784592,220000
2022,791534,208000
2022,474037,340000
2022,761289,10000
2022,249078,253396.75
2022,510852,226750
2022,379604,110000
2022,288377,265000
2022,1588419,241428.41
2022,581122,30000
2022,509900,11000
2022,489862,30000
2022,1803060,25000
2022,1294183,200000
2022,611847,41221.57
2022,197286,50000
2022,681662,20000
2022,1723414,526500
2022,1393964,1005500
2022,67884,63525166.36
2022,1801986,220000
2022,126567,75986
2022,1595419,300000
2022,552332,60000
2022,244545,22000
2022,213867,383291.62999999995
2022,78664,625761.24
2022,1351979,150000
2022,1454989,4946.54
2022,1809427,453932.06
2022,1133756,1284720.8199999998
2022,1165147,82833.34
2022,949848,703869.53
2022,228000,287000
2022,1085376,633568
2022,915981,1600000
2022,551951,50000
2022,316993,910000
2022,586270,289258.1
2022,527943,5965870.58
2022,1582724,18264862.979999997
2022,1217050,308000
2022,916678,1878548.06
2022,1121330,320536.68
2022,1009648,660329.52
2022,1344051,385000
2022,1716672,309998.49
2022,529643,300000
2022,920062,223423.51
2022,1216354,318847.21
2022,959718,36000
2022,1364542,4313898.88
2022,148572,59574.18
2022,1218345,440000
2022,1434477,477163.58
2022,604107,2495000
2022,1191588,914683.37
2022,947253,189683.65000000002
2022,681819,480000
2022,529428,2335000
2022,730975,164289.56
2022,761304, 
2022,1476036,729563.4400000001
2022,1650479,535733.7
2022,984310,28190.73
2022,1241615,300000
2022,496467,87620
2022,101440,745000
2022,1107110,236000
2022,1551538,204950
2022,1591393,1085000
2022,1107672,300000
2022,680972,1358151.84
2022,1041615,1006496.6199999999
2022,510493,333000
2022,510987,385696.83
2022,1097758,198237.01
2022,1166798,160000
2022,530306,616090.5
2022,1417715,796440.1
2022,1802083,181394
2022,1104641,196857
2022,48329,303861.28
2022,1802420,17285
2022,346713,44000
2022,1194127,119800
2022,998851,13124
2022,1046922,78859
2022,729350,144942.63
2022,647184,234946.5
2022,374659,90000
2022,1150355,636454.83
2022,18107,75000
2022,995508,22538
2022,407135,11447
