ano,sigla_uf,id_candidato_bd,nome_urna,sigla_partido,cargo,genero,raca,resultado,votos
2022,SP,2140,Prof Renato,PCB,deputado federal,masculino,branca,nao eleito,558
2022,PR,7522,Professor Thiago Ferraiol,PCB,deputado federal,masculino,branca,nao eleito,2429
2022,MG,9152,Flavia Valle Mrt,PSTU,deputado federal,feminino,branca,nao eleito,585
2022,PI,32608,Antonia Marly Soares De Moura,PCO,deputado federal,feminino,branca,nao eleito,54
2022,SP,39303,Weller Gonçalves,PSTU,deputado federal,masculino,branca,nao eleito,1995
2022,SP,56080,Tiago Pires,PCO,deputado federal,masculino,preta,nao eleito,307
2022,SP,61207,Thaís Rabello,PSTU,deputado federal,feminino,branca,nao eleito,245
2022,PE,66189,Ludmila Outtes,UP,deputado federal,feminino,preta,nao eleito,3086
2022,SP,79851,Professora Grabriela,PSTU,deputado federal,feminino,branca,nao eleito,218
2022,DF,81492,Marilia Vieira,PCO,deputado federal,feminino,preta,nao eleito,139
2022,SP,83682,Eduardo Real,PCB,deputado federal,masculino,parda,nao eleito,866
2022,SP,87341,Max Marianek,PCB,deputado federal,masculino,branca,nao eleito,509
2022,SP,92289,Mariana Fragoso,PSTU,deputado federal,feminino,branca,nao eleito,132
2022,SP,130423,João Jorge,PCO,deputado federal,masculino,branca,nao eleito,1121
2022,PR,149553,Diogo Tadao Furtado,PCO,deputado federal,masculino,branca,nao eleito,192
2022,SP,168801,Christy Muniz,PCB,deputado federal,feminino,branca,nao eleito,506
2022,SP,181559,Renato Bancada Anticapitalista,PSTU,deputado federal,masculino,branca,nao eleito,477
2022,SP,191015,Izadora Dias,PCO,deputado federal,feminino,preta,nao eleito,237
2022,SP,192412,Gabriel Marucci,PCB,deputado federal,masculino,branca,nao eleito,728
2022,RR,198443,Lidia Pereira,PCO,deputado federal,feminino,parda,nao eleito,5
2022,AL,213867,Paulo Falcão,PSTU,deputado federal,masculino,branca,nao eleito,256
2022,RN,229442,Ana Célia Siqueira,PSTU,deputado federal,feminino,preta,nao eleito,620
2022,SP,243394,Jules Saraiva,PCB,deputado federal,feminino,branca,nao eleito,606
2022,MA,262094,Sargento Guimaraes,PSTU,deputado federal,masculino,preta,nao eleito,263
2022,PE,272299,Simone Fontana,PSTU,deputado federal,feminino,branca,nao eleito,436
2022,RS,278468,Juh Guerra,PCB,deputado federal,feminino,nao informado,nao eleito,2463
2022,MG,320811,Felipe Cavallaro,PCO,deputado federal,masculino,parda,nao eleito,103
2022,MA,332985,Bennão Viana,PSTU,deputado federal,masculino,parda,nao eleito,118
