ano,sigla_uf,id_candidato_bd,nome_urna,sigla_partido,cargo,genero,raca,resultado,votos,bens_declarados,despesas_campanha
2018,RR,531,Paulo Thadeu,PCB,deputado federal,masculino,parda,nao eleito,641,79000.0,97289.34999999999
2018,PE,13364,Professor Josias Leandro,PCB,deputado federal,masculino,parda,nao eleito,422,185370.0,6000.0
2018,PE,16299,Paulo Camelo,PCB,deputado federal,masculino,branca,nao eleito,1334,47500.0,10463.8
2018,SE,27171,Professor Marques,PCB,deputado federal,masculino,parda,nao eleito,250,,
2018,SP,33771,Henrique Áreas,PCO,deputado federal,masculino,branca,nao eleito,0,,
2018,BA,38452,Danielly Crespy,PCO,deputado federal,feminino,branca,nao eleito,170,32000.0,
2018,SP,41233,Professora Flavia,PSTU,deputado federal,feminino,branca,nao eleito,3562,11584.26,12703.05
2018,SP,48133,Shirley Silverio,PSTU,deputado federal,feminino,preta,nao eleito,654,3000.0,5202.15
2018,RS,68895,Raimundo Poty,PCB,deputado federal,masculino,parda,suplente,834,10396.31,9066.880000000001
2018,PE,71028,Amanda Palha,PCB,deputado federal,masculino,branca,nao eleito,12026,,72408.73000000001
2018,SP,83629,Rafael Padial,PSTU,deputado federal,masculino,branca,nao eleito,341,200888.06999999998,8040.0
2018,SP,117403,Caio Túlio,PCO,deputado federal,masculino,preta,nao eleito,0,,
2018,MG,122711,Marilia Domingues,PCO,deputado federal,feminino,branca,nao eleito,0,,
2018,CE,130267,Benedito Oliveira,PCB,deputado federal,masculino,preta,nao eleito,0,6000.0,21070.78
2018,SP,133048,Pedro Pereira,PCO,deputado federal,masculino,branca,nao eleito,0,,
2018,MG,169657,Giba,PSTU,deputado federal,masculino,preta,nao eleito,518,200000.0,620.3
2018,RS,172720,Marco Silva,PSTU,deputado federal,masculino,branca,nao eleito,241,,147.0
2018,MG,175097,Valério Vieira Dos Santos,PSTU,deputado federal,masculino,branca,nao eleito,393,186105.96,198.85
2018,SP,187077,Larissa Machado,PCO,deputado federal,feminino,branca,nao eleito,0,,
2018,RS,190530,Marlise Ferreira,PSTU,deputado federal,feminino,branca,nao eleito,0,437000.0,737.9499999999999
2018,AL,213867,Paulo Falcão,PSTU,deputado federal,masculino,branca,nao eleito,428,367474.41,4863.2
2018,RJ,245987,Milena Lorenzo,PCO,deputado federal,feminino,branca,nao eleito,0,168000.0,
2018,GO,256524,Professora Érika Nunes,PCO,deputado federal,feminino,preta,nao eleito,328,,
2018,RS,281073,Sadao Makino,PSTU,deputado federal,masculino,amarela,nao eleito,424,65000.0,1758.0
2018,RN,293809,Silvino Baú,PSTU,deputado federal,masculino,preta,nao eleito,979,42000.0,319.0
2018,SP,342211,Mercedes Lima,PCB,deputado federal,feminino,branca,suplente,1677,305000.0,25058.220000000005
2018,MA,374557,Katia Ribeiro,PSTU,deputado federal,feminino,parda,nao eleito,2319,250000.0,
2018,AP,447767,Jairo Palheta,PSTU,deputado federal,masculino,parda,nao eleito,378,,
2018,AM,469235,Evandro De Oliveira,PSTU,deputado federal,masculino,preta,nao eleito,436,28000.0,224.4
2018,RS,479462,Éder Dias,PSTU,deputado federal,masculino,branca,nao eleito,281,411.37,650.0
2018,PI,489308,Douglas Moraes,PSTU,deputado federal,masculino,preta,nao eleito,790,,800.0
2018,SP,508839,Antônio Macapá,PSTU,deputado federal,masculino,indigena,nao eleito,1384,184000.0,12834.949999999997
2018,RJ,519309,Vinicius Camargo,PSTU,deputado federal,masculino,branca,nao eleito,0,,
2018,MG,534141,Professor Agnaldo Alexandre,PCB,deputado federal,masculino,branca,suplente,612,,2301.75
2018,DF,562586,Nirceu Werneck,PCO,deputado federal,masculino,preta,nao eleito,0,802641.0,
2018,PE,598004,Kelly Silva,PSTU,deputado federal,feminino,branca,nao eleito,389,,
2018,DF,648714,Jamil Magari Pcb,PCB,deputado federal,masculino,branca,nao eleito,206,18592.19,
2018,SP,652845,Inês Leal,PSTU,deputado federal,feminino,preta,nao eleito,393,,80.0
2018,RR,663068,Bárbara Cabral,PSTU,deputado federal,feminino,parda,nao eleito,114,,250.0
