ano,id_candidato_bd,despesas_campanha
2022,304413,2541400.3500000006
2022,526433,795165.35
2022,1145154,1698808.2599999988
2022,681492,100000.00000000001
2022,73133,250500
2022,848825,153695.1
2022,870858,447800.96
2022,1593504,519523.11
2022,71359,1124782.56
2022,271934,479730.9199999999
2022,71557,679403.2000000002
2022,1624308,509668.35999999987
2022,669593,403128
2022,1545774,249999.1
2022,1776465,479816.3899999999
2022,196003,249087.63
2022,1453466,16771
2022,400168,1420305.8400000003
2022,680621,29888
2022,468808,35000
2022,848062,39999.3
2022,1559308,15958.050000000001
2022,524003,12011
2022,374874,393275.92000000033
2022,1441453,298480.6
2022,515531,74763.2
2022,1780767,211723.15
2022,198140,179971.11
2022,471191,1853992.340000001
2022,1775580,999913.3000000005
2022,1804105,80000
2022,579333,20194.65
2022,1293908,80048.35
2022,502316,2574058.1999999997
2022,19795,2513143.1599999997
2022,761345,79999
2022,1425719,30033.499999999996
2022,1269884,80000
2022,681662,30000
2022,452482,12421.54
2022,211027,375030.49999999994
2022,1650490,486999.99999999994
2022,883652,387489.03
2022,197286,194.65
2022,611847,336967.62
2022,1294183,251103.65000000002
2022,703779,154346
2022,536842,100194.65
2022,796070,388856.5
2022,858355,20000
2022,685000,15000
2022,684833,1500
2022,995253,2500
2022,126788,2500
2022,1494764,2400
2022,1805373,2240
2022,211252,2500
2022,658291,2450
2022,1588419,59988
2022,510852,30500
2022,249078,255694.90999999992
2022,379604,50016.35
2022,761289,9992
2022,288377,89999.35
2022,581122,49976.7
2022,162523,99785.3
2022,1623626,191922.3
2022,1775767,1298582.21
2022,937391,809997
2022,1595713,753924.8900000005
2022,1559154,1297291.700000001
2022,151632,1527995.190000003
2022,891798,3025032.34
2022,398412,1728700.0000000005
2022,305248,1191520.8399999999
2022,1706862,1983819.9999999995
2022,1595419,2041249.3300000003
2022,1393964,849240.3100000003
2022,1775915,123056
2022,67884,705690.6000000002
2022,1801986,2599939.0200000005
2022,1147013,12000
2022,546761,13000
2022,840782,34980
2022,1551178,11000
2022,806766,9966
2022,239056,9956
2022,34336,14977.09
2022,1185524,74480
2022,1723414,50000
2022,542360,74990.89000000001
2022,263548,29816.35
2022,1623773,29982.35
2022,1371016,239939
2022,914417,146921.24000000005
2022,381963,194475.73999999996
2022,1415958,499670.6599999994
2022,1775688,135667.6
2022,656443,331606.05
2022,571313,18168
2022,393586,442146.51
