ano,sigla_uf,id_candidato_bd,nome_urna,sigla_partido,cargo,genero,raca,resultado,votos,bens_declarados,despesas_campanha,concorreu_18,tentando_reeleicao
2022,SP,2140,Prof Renato,PCB,deputado federal,masculino,branca,0,558,8500.0,235.0,0,0
2022,PR,7522,Professor Thiago Ferraiol,PCB,deputado federal,masculino,branca,0,2429,378467.88,1691.0,0,0
2022,MG,9152,Flavia Valle Mrt,PSTU,deputado federal,feminino,branca,0,585,28949.9,8080.63,1,0
2022,PI,32608,Antonia Marly Soares De Moura,PCO,deputado federal,feminino,branca,0,54,,,0,0
2022,SP,39303,Weller Gonçalves,PSTU,deputado federal,masculino,branca,0,1995,,63417.3,0,0
2022,SP,56080,Tiago Pires,PCO,deputado federal,masculino,preta,0,307,39831.39,,0,0
2022,SP,61207,Thaís Rabello,PSTU,deputado federal,feminino,branca,0,245,158763.0,4200.0,0,0
2022,PE,66189,Ludmila Outtes,UP,deputado federal,feminino,preta,0,3086,,60123.89,0,0
2022,SP,79851,Professora Grabriela,PSTU,deputado federal,feminino,branca,0,218,231080.15,5050.0,0,0
2022,DF,81492,Marilia Vieira,PCO,deputado federal,feminino,preta,0,139,70000.0,,0,0
2022,SP,83682,Eduardo Real,PCB,deputado federal,masculino,parda,0,866,,23010.12,0,0
2022,SP,87341,Max Marianek,PCB,deputado federal,masculino,branca,0,509,,18685.38,0,0
2022,SP,92289,Mariana Fragoso,PSTU,deputado federal,feminino,branca,0,132,,5050.0,0,0
2022,SP,130423,João Jorge,PCO,deputado federal,masculino,branca,0,1121,,,0,0
2022,PR,149553,Diogo Tadao Furtado,PCO,deputado federal,masculino,branca,0,192,,,0,0
2022,SP,168801,Christy Muniz,PCB,deputado federal,feminino,branca,0,506,300000.0,38072.0,0,0
2022,SP,181559,Renato Bancada Anticapitalista,PSTU,deputado federal,masculino,branca,0,477,264648.93,5211.2,1,0
2022,SP,191015,Izadora Dias,PCO,deputado federal,feminino,preta,0,237,,,0,0
2022,SP,192412,Gabriel Marucci,PCB,deputado federal,masculino,branca,0,728,,19735.0,0,0
2022,RR,198443,Lidia Pereira,PCO,deputado federal,feminino,parda,0,5,,,0,0
2022,AL,213867,Paulo Falcão,PSTU,deputado federal,masculino,branca,0,256,383291.63,3333.0,1,0
2022,RN,229442,Ana Célia Siqueira,PSTU,deputado federal,feminino,preta,0,620,,,0,0
2022,SP,243394,Jules Saraiva,PCB,deputado federal,feminino,branca,0,606,,1190.0,0,0
2022,MA,262094,Sargento Guimaraes,PSTU,deputado federal,masculino,preta,0,263,,3650.0,0,0
2022,PE,272299,Simone Fontana,PSTU,deputado federal,feminino,branca,0,436,110000.0,5522.0,0,0
2022,RS,278468,Juh Guerra,PCB,deputado federal,feminino,nao informado,0,2463,155.28,,0,0
2022,MG,320811,Felipe Cavallaro,PCO,deputado federal,masculino,parda,0,103,,,0,0
2022,MA,332985,Bennão Viana,PSTU,deputado federal,masculino,parda,0,118,,900.0,0,0
2022,SE,336273,Vagner Gastão,UP,deputado federal,masculino,parda,0,1445,421506.06,2610.0,0,0
2022,MG,361804,Gilson Ramos Metalurgico,PSTU,deputado federal,masculino,preta,0,270,,4922.0,0,0
2022,MG,454176,Amaury Alonso,PCB,deputado federal,masculino,preta,0,205,405000.0,19720.0,0,0
2022,PI,456611,Edilene Pinho,PCB,deputado federal,feminino,branca,0,248,,14000.0,0,0
2022,AL,496467,Lenilda Luna,UP,deputado federal,feminino,parda,0,2298,87620.0,8133.3,0,0
2022,CE,512340,Edivania Vieira,PCB,deputado federal,feminino,indigena,0,988,,6166.0,0,0
2022,RJ,519309,Vinicius Camargo,PSTU,deputado federal,masculino,branca,0,621,3402467.9600000004,10240.0,1,0
2022,PA,552545,Wellingta Macêdo,PSTU,deputado federal,feminino,preta,0,628,,7490.5,0,0
2022,MG,555705,Espaguete,PCB,deputado federal,feminino,preta,0,1957,,40445.55,0,0
2022,RS,641750,Professor Gilli,PSTU,deputado federal,masculino,branca,0,212,2585000.0,1821.95,0,0
2022,PB,675536,Radamés,UP,deputado federal,masculino,branca,0,698,18900.0,,0,0
2022,PI,704059,Egmar Oliveira,PSTU,deputado federal,masculino,parda,0,154,,6700.0,0,0
2022,PE,730371,Antônio Oxis,PCB,deputado federal,masculino,preta,0,271,151500.0,,0,0
2022,MG,747218,Professora Andrea Carla,PSTU,deputado federal,feminino,branca,0,96,,5000.0,1,0
2022,RS,749918,Nikaya Vidor,PSTU,deputado federal,feminino,branca,0,538,,6308.0,0,0
2022,SC,760550,Júlia Andrade Ew,UP,deputado federal,feminino,branca,0,3370,24461.92,45917.48,0,0
2022,DF,806953,Ana Schramm,PCO,deputado federal,feminino,branca,0,113,25000.0,,0,0
2022,GO,815393,Isaque Borges,PCO,deputado federal,masculino,preta,0,82,,,0,0
2022,SP,851156,Paulo Bezerra,PCO,deputado federal,masculino,preta,0,169,15000.0,,0,0
2022,DF,897512,Tânia,PSTU,deputado federal,feminino,branca,0,209,30000.0,,0,0
2022,MG,898269,Professor Wanderson Rocha,PSTU,deputado federal,masculino,preta,0,1482,372000.0,4965.0,0,0
2022,PI,908441,Francisco Filho,PCB,deputado federal,masculino,preta,0,522,,14000.0,0,0
2022,RS,923667,Valéria Muller,PSTU,deputado federal,feminino,branca,0,320,,6002.83,0,0
2022,DF,938142,Ieri Braga,PCO,deputado federal,masculino,branca,0,53,,,0,0
2022,MG,952655,Daniel Cristiano,PCB,deputado federal,masculino,preta,0,2298,23424.42,25070.0,0,0
2022,BA,972102,Ana Karen,PCB,deputado federal,feminino,parda,0,2484,114841.99,7404.2,0,0
2022,MA,984582,Preta Lu,PSTU,deputado federal,feminino,preta,0,1105,,6650.0,0,0
2022,SP,1023461,Isis Mustafa,UP,deputado federal,feminino,parda,0,21017,3646.42,6000.0,0,0
2022,MG,1025339,Alessandra Barbosa,PCO,deputado federal,feminino,branca,0,197,18000.0,,0,0
2022,PB,1044104,Iolanda Alves Feitoza,PCO,deputado federal,feminino,branca,0,6,,,0,0
2022,DF,1047893,Uriel,PCO,deputado federal,masculino,parda,0,50,,,0,0
2022,CE,1056816,Sued Carvalho,UP,deputado federal,masculino,branca,0,2140,10497.56,10000.0,0,0
2022,GO,1067255,Arthur Ramos,PCB,deputado federal,masculino,branca,0,959,42380.49,11.0,0,0
2022,MG,1068672,Flaviano Dueli,PCB,deputado federal,masculino,branca,0,1275,183000.0,20621.8,0,0
2022,GO,1068934,Andriele Qualhato,PCB,deputado federal,feminino,parda,0,444,294.64,,1,0
2022,AP,1076489,Luciane Dos Santos Lima,PCO,deputado federal,feminino,branca,0,26,,,0,0
2022,PB,1089524,Valtemberg Alves De Almeida,PCO,deputado federal,masculino,branca,0,48,,,0,0
2022,PB,1099066,José Marcos ,PCO,deputado federal,masculino,branca,0,102,132000.0,,0,0
2022,BA,1099394,Eslane Paixão,UP,deputado federal,feminino,preta,0,3433,46000.0,74030.0,0,0
2022,AL,1127161,Marina Tenório,PCO,deputado federal,feminino,parda,0,55,,,0,0
2022,RJ,1132182,Vânia Luz,PSTU,deputado federal,feminino,indigena,0,303,,10251.35,0,0
2022,PR,1134078,Samuel De Mattos,PSTU,deputado federal,masculino,parda,0,214,93997.97,,0,0
2022,RS,1141800,Carlos Vieira,UP,deputado federal,masculino,parda,0,829,,40046.65,0,0
2022,MG,1149726,Rafael Duda,PSTU,deputado federal,masculino,branca,0,398,75000.0,9611.0,0,0
2022,MG,1153431,Júlia Rocha,PCB,deputado federal,feminino,parda,0,20629,340000.0,44775.88,0,0
2022,PI,1156447,Fran De Jesus,PSTU,deputado federal,feminino,amarela,0,207,30000.0,6700.0,0,0
2022,MA,1160515,Silmara,PSTU,deputado federal,feminino,parda,0,44,,900.0,0,0
2022,GO,1168772,Laryssa Sampaio,UP,deputado federal,feminino,preta,0,1194,,3600.0,0,0
2022,MG,1168906,Livia Trindade,PSTU,deputado federal,feminino,preta,0,174,150000.0,5000.0,0,0
2022,RS,1171876,Priscila Voigt,UP,deputado federal,feminino,branca,0,1081,160000.0,41455.21,0,0
2022,PI,1172527,Thays Dias,UP,deputado federal,feminino,preta,0,878,223.75,14525.9,0,0
2022,BA,1175446,Cheyenne Ayalla,PCB,deputado federal,feminino,preta,0,1615,13000.0,425.0,0,0
2022,SP,1183794,Lisia Sakai,PCO,deputado federal,feminino,branca,0,203,,,0,0
2022,SC,1201837,Matheus Vetter,PCO,deputado federal,masculino,branca,0,152,,,1,0
2022,DF,1235599,Everton,PSTU,deputado federal,masculino,preta,0,95,74000.0,,0,0
2022,SE,1239692,Jennifer Bomfim,UP,deputado federal,feminino,preta,0,643,136.76,,0,0
2022,PE,1262354,João Pedro,UP,deputado federal,masculino,parda,0,92,,,0,0
2022,SC,1271270,Jo Da Coletiva Rebeldia,PSTU,deputado federal,masculino,branca,0,424,,4511.0,0,0
2022,MG,1277239,Poliana Do Mlb,UP,deputado federal,feminino,branca,0,3302,25180.0,5112.0,0,0
2022,DF,1289069,Caio Sad,UP,deputado federal,masculino,parda,0,1472,4083.48,,0,0
2022,CE,1297046,Lino Alves ,PCO,deputado federal,masculino,parda,0,128,110000.0,,0,0
2022,RJ,1310873,Mari Nogueira,PCB,deputado federal,feminino,branca,0,2878,1000.0,37074.38,0,0
2022,PR,1333303,Vanessa Cristina,PCB,deputado federal,feminino,branca,0,2672,,1679.0,0,0
2022,PB,1344023,Vitória Poder Delas,UP,deputado federal,feminino,parda,0,1374,,,0,0
2022,RJ,1350263,Gabriel Marques,PCB,deputado federal,masculino,branca,0,1018,563969.05,25924.32,0,0
2022,MG,1372664,Ilma Francisca Da Silva,PCO,deputado federal,feminino,branca,0,63,,,0,0
2022,AL,1377542,Leonardo Filho,PCO,deputado federal,masculino,preta,0,19,,,0,0
2022,PE,1377584,Victória Pinheiro,PCB,deputado federal,feminino,branca,0,2576,20.1,600.0,0,0
2022,MG,1395597,Lívia Flor,PCB,deputado federal,feminino,branca,0,856,38296.78,39220.0,0,0
2022,MG,1401031,Iago Chaves,PCB,deputado federal,masculino,branca,0,391,,25320.0,0,0
2022,RS,1421123,Huno,PCB,deputado federal,masculino,amarela,0,107,20978.39,79.5,0,0
2022,SP,1445095,Simone Souza,PCO,deputado federal,feminino,branca,0,109,140831.69,,0,0
2022,MG,1445504,Thomás Carrieri,PCB,deputado federal,masculino,branca,0,278,907684.82,23240.0,0,0
2022,RJ,1461635,Gustavo Pedro,PCB,deputado federal,masculino,branca,0,1360,,25692.96,0,0
2022,MG,1498961,Zulu,PCB,deputado federal,masculino,preta,0,267,391033.3,9300.0,1,0
2022,SP,1514471,Claudio Donizete,PSTU,deputado federal,masculino,preta,0,667,191084.46,54378.2,1,0
2022,SP,1515631,Riva,PCO,deputado federal,masculino,parda,0,76,,,1,0
2022,SP,1515773,Camilo Terra,PCB,deputado federal,masculino,branca,0,522,245300.0,9970.0,0,0
2022,SP,1520957,Beatriz Barbiere,PCB,deputado federal,feminino,preta,0,4498,,33544.68,0,0
2022,SP,1596238,Clenilza Panato,PCO,deputado federal,feminino,branca,0,177,125975.09,,0,0
2022,SP,1596642,Dr Claudimar Jaba Col Unidos,PCB,deputado federal,masculino,parda,0,1676,198040.99,11411.0,0,0
2022,MA,1599436,Dimas Cassimiro Do Nascimento,PCO,deputado federal,masculino,parda,0,63,,,0,0
2022,PE,1602769,Helio Cabral,PSTU,deputado federal,masculino,preta,0,447,,5522.0,0,0
2022,SP,1609884,Marcello Pablito,PSTU,deputado federal,masculino,preta,0,1256,29332.48,20526.88,0,0
2022,DF,1613695,Ricardo Machado,PCO,deputado federal,masculino,parda,0,118,88000.0,,1,0
2022,SP,1678826,Waldemir Soares Junior,PSTU,deputado federal,masculino,branca,0,744,495000.0,6213.0,0,0
2022,SP,1709245,Duarte Da Brasilândia,PSTU,deputado federal,masculino,preta,0,488,124100.0,5901.3,0,0
2022,PB,1712040,Jozivan Antero,UP,deputado federal,masculino,branca,0,1337,52000.0,,0,0
2022,MA,1770040,Tourin,PSTU,deputado federal,masculino,parda,0,77,,3650.0,0,0
2022,SP,1786582,Leandro Paggiaro,PCO,deputado federal,masculino,branca,0,44,23800.0,,0,0
2022,CE,1801780,Roberto Santos,PCB,deputado federal,masculino,parda,0,2591,15000.0,3850.0,0,0
2022,TO,11857,Silvino Vitor,DC,deputado federal,masculino,preta,0,200,585007.0,11530.0,0,0
2022,MA,20060,João Soares,DC,deputado federal,masculino,parda,0,95,,13989.23,0,0
2022,DF,22415,Bispa Maéce,DC,deputado federal,feminino,branca,0,112,,,0,0
2022,MT,28097,Dr Renato,DC,deputado federal,masculino,branca,0,71,,,0,0
2022,SP,36699,Carlos Augusto Lessa,DC,deputado federal,masculino,parda,0,176,,,0,0
2022,BA,44122,Ailton Costa,DC,deputado federal,masculino,parda,0,225,,,0,0
2022,RJ,54406,Luis Santa Cruz,DC,deputado federal,masculino,branca,0,584,1320000.0,,0,0
2022,PE,54707,Paula Cavalcanti,DC,deputado federal,feminino,parda,0,102,,,0,0
2022,RN,57765,Marcus Vinicius,DC,deputado federal,masculino,parda,0,14,182100.0,,0,0
2022,BA,58289,Cristina Dos Santos,DC,deputado federal,feminino,parda,0,112,,12000.000000000002,0,0
2022,PR,63135,Gilson Camargo,DC,deputado federal,masculino,branca,0,15,22000.0,,0,0
2022,MG,67134,Cida Maria Enfermeira,DC,deputado federal,feminino,branca,0,415,100000.0,10000.0,0,0
2022,GO,67298,Geraldo Silva,DC,deputado federal,masculino,branca,0,146,,5000.0,0,0
2022,PR,94379,Pastor Neri Tavares,DC,deputado federal,masculino,branca,0,120,,7469.000000000001,1,0
2022,ES,107911,João Costela,DC,deputado federal,masculino,branca,0,145,150000.0,,0,0
2022,AM,119575,Celso Corsino,DC,deputado federal,masculino,parda,0,536,551660.26,611.4,0,0
2022,TO,120786,Paulo Cezar,DC,deputado federal,masculino,branca,0,33,,9100.0,0,0
2022,GO,142099,Aurilene Malta,DC,deputado federal,feminino,branca,0,46,257803.76,5000.0,0,0
2022,GO,161703,Ivon Eber A Jato,DC,deputado federal,masculino,branca,0,800,160000.0,8900.0,0,0
2022,BA,185553,Luis Carlos Santana,DC,deputado federal,masculino,parda,0,258,,580.0,0,0
2022,GO,198113,Eliane Martins,DC,deputado federal,feminino,branca,0,571,400000.0,5000.0,0,0
2022,MA,198964,Marta Matos,DC,deputado federal,feminino,branca,0,132,,,0,0
2022,MT,201282,João Pinto,DC,deputado federal,masculino,amarela,0,197,,8993.0,0,0
2022,PR,207795, Poletto,DC,deputado federal,masculino,branca,0,138,,,0,0
2022,RR,216772,Maria Da Silva,DC,deputado federal,feminino,parda,0,33,255000.0,22624.9,0,0
2022,MS,245011,Wanderleia Ferreira,DC,deputado federal,feminino,branca,0,155,,12999.35,0,0
2022,PR,246140,Zé Augusto,DC,deputado federal,masculino,branca,0,326,20000.0,8179.0,0,0
2022,SC,251184,Daniel Silveira,DC,deputado federal,masculino,branca,0,787,,28400.0,0,0
2022,RS,274782,Raquel Morsch,DC,deputado federal,feminino,branca,0,192,11677.2,106593.41,0,0
2022,PR,283097,Edneia Maria,DC,deputado federal,feminino,branca,0,66,,4385.0,0,0
2022,GO,283286,Marcia Rosa,DC,deputado federal,feminino,branca,0,77,,5000.0,0,0
2022,MT,295140,Missionária Cleide Guerra,DC,deputado federal,feminino,amarela,0,543,,8996.0,0,0
2022,RJ,297050,Dom Serra,DC,deputado federal,masculino,preta,0,222,103653.09,,0,0
2022,PE,303807,Baxinha Barão,DC,deputado federal,masculino,parda,0,99,,2000.0,0,0
2022,PE,308600,Egre Guerra,DC,deputado federal,feminino,parda,0,29,,3000.0,0,0
2022,SP,317876,Edivaldo Correia,DC,deputado federal,masculino,branca,0,202,,39.99,0,0
2022,RR,321555,Denis Alcantara,DC,deputado federal,masculino,parda,0,247,185000.0,8765.84,0,0
2022,PR,352065,Coronel Lee,DC,deputado federal,masculino,amarela,0,24054,3831072.38,85040.13,0,0
2022,PR,363951,Marcos Superti,DC,deputado federal,masculino,branca,0,606,,12043.83,0,0
2022,RJ,364059,Professora Sônia,DC,deputado federal,feminino,branca,0,187,,7000.0,0,0
2022,RJ,388042,Fábio Manaus,DC,deputado federal,masculino,parda,0,897,,,0,0
2022,PE,389835,Irmão Da Kombi,DC,deputado federal,masculino,parda,0,452,30000.0,2000.0,0,0
2022,PR,395314,Lili Maino,DC,deputado federal,feminino,branca,0,145,,4385.0,0,0
2022,RJ,401825,Psicóloga Maria Luiza,DC,deputado federal,feminino,branca,0,151,,4000.0,0,0
2022,RS,407076,Cristiane Severo,DC,deputado federal,feminino,branca,0,98,,2100.0,0,0
2022,TO,416049,Rogério Lunas,DC,deputado federal,masculino,parda,0,22,200000.0,37100.0,0,0
2022,PR,416960,Sandra Riesemberg Marques,DC,deputado federal,feminino,branca,0,98,100000.0,4542.7,0,0
2022,RJ,434416,Zico Pqd,DC,deputado federal,masculino,branca,0,758,,,0,0
2022,RJ,449757,Celso Campista,DC,deputado federal,masculino,parda,0,407,,1400.0,0,0
2022,PR,451989,Pastor José Alves,DC,deputado federal,masculino,branca,0,339,79000.0,9994.45,0,0
2022,SP,459293,Soldado José Augusto,DC,deputado federal,masculino,preta,0,499,180320.0,,0,0
2022,MA,459570,Samuel Calacio,DC,deputado federal,masculino,branca,0,33,,,0,0
2022,RR,459847,Carlos Koelho,DC,deputado federal,masculino,parda,0,229,32000.0,,0,0
2022,AM,467302,Renato Alencar,DC,deputado federal,masculino,parda,0,127,3500.0,,0,0
2022,RR,471445,Marlene Lopes,DC,deputado federal,feminino,branca,0,68,650000.0,27460.55,1,0
2022,RS,475860,Edison Junior,DC,deputado federal,masculino,branca,0,85,,2267.86,0,0
2022,RJ,492124,Rosi Nascimento,DC,deputado federal,feminino,preta,0,158,140000.0,7000.0,0,0
2022,BA,517193,Claudionor Basilio,DC,deputado federal,masculino,parda,0,530,,8000.0,0,0
2022,AM,519326,Cicero Alencar,DC,deputado federal,masculino,parda,0,743,10000.0,,0,0
2022,AM,527172,Jefferson Brasil Cante,DC,deputado federal,masculino,parda,0,217,2000.0,,0,0
2022,ES,532323,Silvestre Soares,DC,deputado federal,masculino,preta,0,298,,,1,0
2022,BA,532625,Neiva Guerra,DC,deputado federal,feminino,preta,0,212,,11.0,1,0
2022,AM,559815,Cimara Cavalcante,DC,deputado federal,feminino,parda,0,411,3000.0,4200.0,0,0
2022,DF,566639,Ivone Lopes,DC,deputado federal,feminino,preta,0,244,238000.0,,0,0
2022,MT,571436,Kenia Oliveira,DC,deputado federal,feminino,parda,0,5,,3000.0,0,0
2022,SE,572370,Severo Dacelino,DC,deputado federal,masculino,preta,0,174,600000.0,,0,0
2022,MA,588970,Zita Pontes,DC,deputado federal,feminino,branca,0,338,,,0,0
2022,PR,600931,Paulo Marcos Orozimbo,DC,deputado federal,masculino,preta,0,276,345000.0,,0,0
2022,PR,620342,Ademir Galdino,DC,deputado federal,masculino,branca,0,101,,,0,0
